Inv. Date,Area,Customer,Customer Name,Comp,Branch,STYP,Order No,  Item,DLV. No,  Item,Bill Typ,Invoice No,  Item,Mat.Gr,Parts No,Description,Q'ty,BUn,  Sales Amount,        Tax,Faktur Pajak No.
03.01.2023,,F1246A,PT.PUTRA RIMBA NUSANTARA,AR1,AYC,ZAB1,901148133,10,796504747,10,ZFBH,56317351,1,8RB,DKL-HOIL68-I200,OIL HYD 68LL (DRUM),1,PC,"5,050,000","555,500",010.002-23.87620062
03.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901146062,10,796504335,10,ZFBH,56317358,1,8RJ,YN33H01344P1,COVER,2,PC,"1,843,400","202,774",010.002-23.87620069
03.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148138,10,796504746,10,ZFBH,56317359,1,8R1,YN11P00039F1,"CLEANER, AIR",2,PC,"6,632,912","729,620",010.002-23.87620070
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148608,80,796507339,10,ZFBH,56317475,1,8R5,YN35V00054F1K,"VALVE, SOLENOID",1,PC,"1,935,000","212,850",010.002-23.87620227
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148608,10,796507340,10,ZFBH,56317475,2,8R1,VH23390E0020J1M," ELEMENT, FUEL",1,PC,"115,700","12,727",010.002-23.87620227
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148608,20,796507341,10,ZFBH,56317475,3,8R1,YN21P01088R100J1J,"FILTER,FUEL",1,PC,"115,700","12,727",010.002-23.87620227
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148608,30,796507342,10,ZFBH,56317475,4,8R1,YN21P01068R100J1J,"FILTER,FUEL",1,PC,"115,700","12,727",010.002-23.87620227
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148608,40,796507343,10,ZFBH,56317475,5,8R1,VHS156072190J1M," FILTER, OIL",1,PC,"115,700","12,727",010.002-23.87620227
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148608,60,796507344,10,ZFBH,56317475,6,8R1,VH23390E0020J1M," ELEMENT, FUEL",1,PC,"115,700","12,727",010.002-23.87620227
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148608,70,796507345,10,ZFBH,56317475,7,8R1,YN21P01157R100J1J,"FILTER, FUEL",1,PC,"210,000","23,100",010.002-23.87620227
